colour	x	y	clickSelects	showSelected1	showSelected2	fill
#00BFC4	8.87904870689557	1	Original	0	Original	#00BFC4
#00BFC4	9.53964502103344	1	Original	0	Original	#00BFC4
#00BFC4	13.1174166282982	1	Original	0	Original	#00BFC4
#00BFC4	10.1410167828492	1	Original	0	Original	#00BFC4
#00BFC4	10.2585754703219	1	Original	0	Original	#00BFC4
#00BFC4	13.4301299737666	1	Original	0	Original	#00BFC4
#00BFC4	10.9218324119784	1	Original	0	Original	#00BFC4
#00BFC4	7.46987753078693	1	Original	0	Original	#00BFC4
#00BFC4	8.62629429621295	1	Original	0	Original	#00BFC4
#00BFC4	9.10867605980008	1	Original	0	Original	#00BFC4
#00BFC4	12.4481635948789	1	Original	0	Original	#00BFC4
#00BFC4	10.7196276541147	1	Original	0	Original	#00BFC4
#00BFC4	10.8015429011881	1	Original	0	Original	#00BFC4
#00BFC4	10.2213654318902	1	Original	0	Original	#00BFC4
#00BFC4	8.88831773049185	1	Original	0	Original	#00BFC4
#00BFC4	13.5738262736062	1	Original	0	Original	#00BFC4
#00BFC4	10.9957009564585	1	Original	0	Original	#00BFC4
#00BFC4	6.06676568674072	1	Original	0	Original	#00BFC4
#00BFC4	11.4027118031274	1	Original	0	Original	#00BFC4
#00BFC4	9.05441718454413	1	Original	0	Original	#00BFC4
#00BFC4	7.86435258802631	1	Original	0	Original	#00BFC4
#00BFC4	9.56405017068341	1	Original	0	Original	#00BFC4
#00BFC4	7.94799110338552	1	Original	0	Original	#00BFC4
#00BFC4	8.54221754141772	1	Original	0	Original	#00BFC4
#00BFC4	8.74992146430149	1	Original	0	Original	#00BFC4
#00BFC4	6.62661337851517	1	Original	0	Original	#00BFC4
#00BFC4	11.6755740889891	1	Original	0	Original	#00BFC4
#00BFC4	10.306746235673	1	Original	0	Original	#00BFC4
#00BFC4	7.72372612597611	1	Original	0	Original	#00BFC4
#00BFC4	12.5076298421399	1	Original	0	Original	#00BFC4
#F8766D	10.2585754703219	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	7.46987753078693	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	10.7196276541147	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	10.8015429011881	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	6.06676568674072	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	8.87904870689557	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	11.6755740889891	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	13.4301299737666	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	7.86435258802631	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	8.88831773049185	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	8.62629429621295	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	8.88831773049185	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	6.62661337851517	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	10.306746235673	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	13.5738262736062	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	9.05441718454413	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	12.5076298421399	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	13.4301299737666	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	12.4481635948789	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	7.46987753078693	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	9.56405017068341	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	9.56405017068341	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	10.9218324119784	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	13.5738262736062	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	10.9957009564585	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	9.56405017068341	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	6.06676568674072	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	10.9957009564585	1	Bootstrap	1	Bootstrap	#F8766D
#F8766D	9.53964502103344	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	10.1410167828492	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	10.8015429011881	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	10.2585754703219	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	9.56405017068341	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	11.4027118031274	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	9.05441718454413	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	9.56405017068341	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	10.2213654318902	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	7.94799110338552	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	13.1174166282982	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	7.46987753078693	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	13.5738262736062	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	12.5076298421399	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	10.7196276541147	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	10.2213654318902	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	12.5076298421399	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	13.1174166282982	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	10.2213654318902	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	10.9218324119784	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	13.1174166282982	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	7.94799110338552	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	9.56405017068341	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	6.62661337851517	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	8.88831773049185	1	Bootstrap	2	Bootstrap	#F8766D
#F8766D	7.86435258802631	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	10.2585754703219	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	7.46987753078693	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	11.4027118031274	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	9.10867605980008	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	6.06676568674072	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	9.10867605980008	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	10.7196276541147	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	9.53964502103344	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	9.10867605980008	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	9.56405017068341	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	10.7196276541147	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	9.05441718454413	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	10.2213654318902	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	10.9957009564585	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	12.5076298421399	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	10.2213654318902	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	9.56405017068341	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	13.1174166282982	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	7.46987753078693	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	10.2213654318902	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	11.4027118031274	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	12.5076298421399	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	8.88831773049185	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	8.54221754141772	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	10.9957009564585	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	7.94799110338552	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	12.4481635948789	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	10.9218324119784	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	3	Bootstrap	#F8766D
#F8766D	8.88831773049185	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	7.94799110338552	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	6.62661337851517	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	13.4301299737666	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	10.2213654318902	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	10.9218324119784	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	11.6755740889891	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	9.10867605980008	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	10.2585754703219	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	13.4301299737666	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	13.5738262736062	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	8.54221754141772	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	7.86435258802631	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	7.94799110338552	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	12.4481635948789	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	10.1410167828492	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	10.7196276541147	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	10.2213654318902	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	10.306746235673	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	11.4027118031274	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	10.9218324119784	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	9.56405017068341	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	6.62661337851517	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	8.62629429621295	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	10.9218324119784	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	9.53964502103344	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	13.5738262736062	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	10.8015429011881	1	Bootstrap	4	Bootstrap	#F8766D
#F8766D	11.4027118031274	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	8.54221754141772	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	9.05441718454413	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	8.88831773049185	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	10.9218324119784	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	10.1410167828492	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	8.87904870689557	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	7.46987753078693	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	12.5076298421399	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	12.5076298421399	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	9.05441718454413	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	13.5738262736062	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	8.54221754141772	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	9.56405017068341	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	12.4481635948789	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	13.5738262736062	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	9.05441718454413	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	7.46987753078693	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	13.1174166282982	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	10.1410167828492	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	9.05441718454413	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	10.7196276541147	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	9.56405017068341	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	10.9957009564585	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	9.10867605980008	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	11.6755740889891	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	9.05441718454413	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	12.4481635948789	1	Bootstrap	5	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	7.94799110338552	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	7.46987753078693	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	10.2213654318902	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	7.86435258802631	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	10.8015429011881	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	9.53964502103344	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	12.4481635948789	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	10.8015429011881	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	10.2213654318902	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	13.4301299737666	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	7.46987753078693	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	10.7196276541147	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	6.62661337851517	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	10.1410167828492	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	10.8015429011881	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	10.2213654318902	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	7.86435258802631	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	13.5738262736062	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	7.94799110338552	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	8.87904870689557	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	7.46987753078693	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	7.46987753078693	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	9.10867605980008	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	7.46987753078693	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	6.06676568674072	1	Bootstrap	6	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	7.86435258802631	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	8.62629429621295	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	10.9218324119784	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	10.9218324119784	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	6.62661337851517	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	10.306746235673	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	9.10867605980008	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	8.54221754141772	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	9.56405017068341	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	7.94799110338552	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	6.62661337851517	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	12.4481635948789	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	8.87904870689557	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	11.4027118031274	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	9.10867605980008	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	7.86435258802631	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	9.56405017068341	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	10.8015429011881	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	12.4481635948789	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	12.4481635948789	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	9.05441718454413	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	6.62661337851517	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	10.9218324119784	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	7	Bootstrap	#F8766D
#F8766D	7.94799110338552	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	6.62661337851517	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	9.05441718454413	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	8.54221754141772	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	8.62629429621295	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	8.62629429621295	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	10.2585754703219	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	7.94799110338552	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	10.2213654318902	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	10.2213654318902	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	13.4301299737666	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	11.6755740889891	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	8.87904870689557	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	6.62661337851517	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	9.10867605980008	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	10.9957009564585	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	6.62661337851517	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	10.9957009564585	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	6.62661337851517	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	11.6755740889891	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	7.86435258802631	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	10.9218324119784	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	10.306746235673	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	7.86435258802631	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	6.62661337851517	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	8.62629429621295	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	9.05441718454413	1	Bootstrap	8	Bootstrap	#F8766D
#F8766D	13.4301299737666	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	6.06676568674072	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	12.5076298421399	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	10.9957009564585	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	10.2585754703219	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	9.05441718454413	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	13.1174166282982	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	10.2213654318902	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	8.87904870689557	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	9.53964502103344	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	10.1410167828492	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	9.10867605980008	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	8.87904870689557	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	10.2585754703219	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	7.86435258802631	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	7.46987753078693	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	7.94799110338552	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	7.86435258802631	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	10.8015429011881	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	6.06676568674072	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	9.10867605980008	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	13.4301299737666	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	10.9218324119784	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	8.62629429621295	1	Bootstrap	9	Bootstrap	#F8766D
#F8766D	13.5738262736062	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	10.9957009564585	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	7.86435258802631	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	10.8015429011881	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	10.306746235673	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	7.86435258802631	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	7.46987753078693	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	7.86435258802631	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	10.9218324119784	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	9.05441718454413	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	6.06676568674072	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	10.9957009564585	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	8.87904870689557	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	9.53964502103344	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	10.9957009564585	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	9.53964502103344	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	10.8015429011881	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	8.54221754141772	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	10.9957009564585	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	13.1174166282982	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	6.06676568674072	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	9.53964502103344	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	10.2585754703219	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	10.7196276541147	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	8.74992146430149	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	10.8015429011881	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	9.10867605980008	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	7.72372612597611	1	Bootstrap	10	Bootstrap	#F8766D
#F8766D	13.4301299737666	1	Bootstrap	10	Bootstrap	#F8766D
